TimeString,X,Y,Z,Speed,BatteryStatus,Node,Edge
00:00:05,-115.4907,-49.67448,107.6462,2,0.8496302,Node (7),Edge (13)
00:00:10,-40.53826,-53.35149,111.1727,2,0.6993796,Node (7),Edge (13)
00:00:15,34.36087,-57.02589,114.6966,2,0.5492362,Node (7),Edge (13)
00:00:20,109.2873,-60.7016,118.2217,2,0.3990375,Node (7),Edge (13)
00:00:25,117.4082,-63.3,118.6038,2,0.4298272,Node (1),-
00:00:30,117.4082,-63.3,118.6038,2,0.479887,Node (1),-
00:00:35,117.4082,-63.3,118.6038,2,0.5304763,Node (1),-
00:00:40,117.4082,-63.3,118.6038,2,0.5804127,Node (1),-
00:00:45,117.4082,-63.3,118.6038,2,0.6314816,Node (1),-
00:00:50,117.4082,-63.3,118.6038,2,0.6818689,Node (1),-
00:00:55,117.4082,-63.3,118.6038,2,0.7329906,Node (1),-
00:01:00,117.4082,-63.3,118.6038,2,0.7836645,Node (1),-
00:01:05,117.4082,-63.3,118.6038,2,0.8352642,Node (1),-
00:01:10,117.4082,-63.3,118.6038,2,0.8858935,Node (1),-
00:01:15,117.4082,-63.3,118.6038,2,0.9357597,Node (1),-
00:01:20,117.4082,-63.3,118.6038,2,0.9869903,Node (1),-
00:01:25,160.3123,-59.13497,91.70842,2,0.9321529,Node (1),Edge (8)
00:01:30,213.5814,-84.46504,49.40227,2,0.8318784,Node (1),Edge (8)
